synthetic text,labels,waste sorting,studying the product labeling,waste recycling,signing petitions to influence authorities,refusing purchases,exchanging,sharing,participating in actions to promote responsible consumption,repairing
"Для начала, вам нужно подготовить четыре контейнера, или же четыре крепких пакета, или четыре картонных коробки.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Макулатуру на заводе перерабатывают, но с заметным ухудшением свойств из-за примесей органических веществ. В таких условиях она может быть менее пригодной для дальнейшего использования. Поэтому целесообразнее сдавать её на специализированные мероприятия или акции, где её примут с большей пользой.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
До завершения подготовки к первому фестивалю экологической культуры осталось лишь два дня!,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"Для каждого человека должно быть легко и удобно сдать накопленные материалы, которые можно переработать.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Предлагаем создать экологически чистые материалы для творчества, такие как самодельная глина, клей, мыльная основа, которые можно будет приобрести в специализированных местах, где товары продаются поштучно или на вес, и клиенты могут использовать свои контейнеры для упаковки.","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"С 15 марта, каждые две недели, начиная с этого дня, мы организуем выездной пункт для сбора и сортировки вторсырья. Вторые субботы месяца станут днем, когда вы можете принести свои перерабатываемые материалы для дальнейшего использования.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Почему не стоит сдавать жестяные банки?,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Правильно утилизируйте древесину.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Каким образом осуществляется процесс сортировки?,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В этот день ключевые игроки из различных секторов экономики собираются вместе, чтобы обменяться личными историями о минимизации бумажных отходов и организовать собственные мероприятия в поддержку экологических инициатив.","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"Если вы все еще не решили, как провести выходные с пользой для экологии, наш календарь предложит вам множество идей! Воспользуйтесь нашими советами и сделайте эти дни особенными для природы и себя.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
Возвращение выездного пункта!,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Сегодня мы организовали мероприятие ""Экологический Десант"" в школе ""СЕТ-ИНТ"", чтобы уже с младых ногтей учить детей важности сортировки отходов и воспитывать в них бережное отношение к окружающей среде.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
Экостиль стал неотъемлемой частью моего образа жизни.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Давайте объединим усилия, чтобы перерабатывать отходы, превращая их в ценное вторичное сырье.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"27 февраля прошел пятый выезд мобильного пункта сбора отходов, организованный компанией ""Гранула"".","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
В Тюмени существует возможность сдать крупные бытовые приборы на переработку.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Большое спасибо Марине, которая усердно следила за процессом. К сожалению, не все участники были внимательны: некоторые из них принесли материалы, не соответствующие требованиям – это были пищевые отходы, неопознанный пластик и прочие неподходящие предметы.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Представьте себе: школьники собрали невероятные 6 282,58 килограмма бумажных отходов!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Каким образом из различных материалов будет производиться бумага?,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Теперь у вас есть возможность загрузить мобильное приложение, чтобы легко находить места, где принимают использованные батарейки. В Тюмени тоже активно развивается эта инициатива!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В субботу, 11 ноября, в пяти местах города, мы будем принимать следующие материалы для переработки: стекло, макулатуру, металлолом (все виды, кроме фольги), одежду и текстиль (в любом состоянии), а также обувь и аксессуары в хорошем состоянии.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Если вы только делаете первые шаги в сортировке отходов и хотите узнать больше о различных видах вторичного сырья, приходите к нам. Здесь вы сможете получить информацию и полезные материалы, включая листовки с перечнем того, что можно сдать на переработку.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Тема обсуждения: Современные аспекты улучшения городской жизни: управление отходами и их переработка.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Мы покупаем картон, бумажные изделия, старые книги, ПЭТ-бутылки, стеклянные предметы и алюминиевые отходы!","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
Сдавайте макулатуру и получайте до 8 000 рублей за каждый тонну переработанного материала!,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Воркшоп ""Экологический образ жизни в мегаполисе: практические шаги"".

В рамках этого мероприятия мы рассмотрим, как можно внедрить экологически чистые привычки и технологии в повседневную жизнь городского жителя. Мы обсудим:

1. **Энергосбережение и возобновляемые источники**: Советы по оптимизации потребления электричества и использование солнечных панелей или ветряков.
  
2. **Экологически безопасные материалы**: Как выбирать и применять экологически чистые продукты в доме и на работе.

3. **Зеленые технологии в быту**: Простые решения для уменьшения отходов и улучшения водного цикла.

4. **Городские инициативы**: Поддержка местных проектов и участие в общественных программах по сохранению природы.

5. **Питание и здоровье**: Рациональное питание и его влияние на экосистему, а также советы по органическому садоводству.

6. **Мобильность и транспорт**: Альтернативы автомобилям и советы по выбору экологически дружественных средств передвижения.

В ходе семинара вы узнаете, как можно внести позитивные изменения в свою среду, не теряя комфорта и удобства, и как это может способствовать общему улучшению городской среды.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Мы остро нуждаемся в добровольцах, чтобы поддержать нашу деятельность. Если вы всё ещё думаете о том, чтобы стать частью команды, то вот ваш шанс! Просто перейдите по этой ссылке и заполните анкету: [https://docs.google.com/forms/d/e/1FAIpQLSdXOXmPD_fYagCV-g1Z9nGRg6xfWaV-1H8qR5Yso_tM4qc_3w/viewform] ()))","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Если у вас случайно оказалась такая брошюра, не спешите выбрасывать её в мусор. Лучше найдите время, чтобы передать её на стойку регистрации или в руки тех, кто ещё не в курсе важности сортировки мусора. Это может быть полезным уроком для окружающих и способствовать распространению экологической осведомленности.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Стекло — это материал, который можно полностью переработать, что делает его экологически безупречным.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"Собирая и перерабатывая макулатуру, мы открываем двери к множеству инновационных применений для отслуживших бумажных материалов, будь то книги, газеты или офисные документы. Это способствует бережному расходованию природных ресурсов, которые, к сожалению, не безграничны в нашем мире.","[1, 0, 1, 0, 0, 0, 0, 0, 0]",1,0,1,0,0,0,0,0,0
"Сегодня, вдохновленные инициативой жителей Тобольска и Тюмени, жители Аромашево примут участие в уборке общественных зон и дворовых пространств. Это мероприятие совпадет с общероссийским экологическим проектом «Зелёная Россия», направленным на сохранение природы и чистоты окружающей среды.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Благодарим всех, кто сегодня доставил материалы к нашим стационарным местам, и особо тех, кто не возражал против оставления груза. Ваши усилия позволили организовать 6 успешных точек сбора, что значительно облегчило процесс. Спасибо за вашу помощь и понимание!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"На встречу прибыли 29 участников, и в результате было собрано более 200 килограммов ценного вторичного сырья. В числе этого: 102 кг макулатуры, 75 кг стеклянных изделий, 7 кг полиэтиленовых пакетов, 8 кг ПЭТ-бутылок, 9 кг ПНД-упаковки, 3 кг полистирола, а также 11 кг металлических отходов (жести и алюминия).","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В ноябре удалось предотвратить попадание на свалку 4 тонн отходов, которые можно было переработать.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"Присоединяйтесь к добровольцам проекта «Круговорот»! Мы ждем вас в нашей дружной команде, чтобы вместе делать мир лучше!","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
Просмотрите полный перечень принимаемых нами.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"7 октября, в 19:00, состоится встреча волонтеров из сообщества ""Круговорот"". Встречаемся в уютной кофейне ""Поль Бейкери"" на улице Максима Горького, дом 42а. Хотите присоединиться? Пишите в обсуждении, чтобы отметиться!","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
Как распознать фальшивую купюру номиналом в пятьдесят рублей?,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,0,0,0,0
У вас накопились вопросы по теме раздельного сбора мусора?,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
Следующая акция по сбору стекла будет проходить в назначенные часы и в указанных местах.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Конкретно не будет: - сложной многоуровневой системы сбора (это решение исключено из-за высокой стоимости); - установки контейнеров для отходов на площадках, которые обслуживаются и вывозятся другими компаниями, а не нашими операторами.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Участники, объединённые в группы, смогут предложить свои подходы к решению экологических проблем.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Тридцать процентов пластика, который мы отправляем на сортировку, оказывается непригодным для переработки.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"Благодарим всех наших друзей, кто, несмотря на сложности, продолжает быть рядом и поддерживает нас. Спасибо за ваше участие и усилия!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"21 декабря 2020 года (понедельник) добавлен новый пункт выдачи, расположенный по адресу: улица Широтная, дом 190, корпус 4, в жилом комплексе «Малахово».","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Следи за модой и будь в курсе актуальных трендов!,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Ваше участие в экологической инициативе дома имеет огромное значение. Сообщите нам, и мы организуем мероприятие, которое улучшит экологическую обстановку именно в вашем дворе. Мы готовы приехать и провести экологическую акцию, чтобы вместе сделать ваше пространство чище и безопаснее для природы.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Соблюдайте порядок: используйте газетные обёртки для упаковки или же сразу утилизируйте отходы, вынося их из мусорного ведра.","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"Проект Eco Study предлагает эффективный подход к решению экологических вызовов, применяя метод кейс-стади. Это способствует поиску инновационных решений и обучению на реальных примерах.","[0, 0, 0, 0, 1, 0, 0, 1, 0]",0,0,0,0,1,0,0,1,0
"В приложенном файле представлены различные виды сырья, которые мы используем.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"**Срочно! Важное Объявление:**

- **ЭКОМОБИЛЬ 10 мая:** Не пропустите ближайшую акцию по сбору вторсырья.
- **Подача заявок онлайн:** Оставьте запрос на сайте или через группы в VK (https://vk.com/topic-63975920_29500301) и на сайте krugovorot-eco.ru. Также можно отправить письмо на krugovorot-eco@mail.ru.
- **Телефон для связи:** Свяжитесь с нами по номеру 920-700 для уточнения деталей и записи на мероприятия.
- **Адреса пунктов приема:** Полный список стационарных контейнеров и точек сбора доступен на странице в VK (https://vk.com/topic-63975920_30587214).
- **Начинающим участникам:** Найдите полезные советы и инструкции в теме ""Введение в тему"" (http://vk.com/topic-63975920_30225945).

Не забудьте подготовиться и принять участие в этом важном экологическом мероприятии!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В условиях текущих глобальных событий, наша акция ""ЭКОСТИЛЬ - Стиль моей Жизни!"" продолжает своё развитие и вдохновляет нас на новые шаги к экологичности и устойчивому образу жизни.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"После завершения барабанного грохочения, отсортированные материалы возвращаются на ленту транспортера. В процессе, металлические частицы извлекаются магнитным сепаратором.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Для быстрого и эффективного сдачи отходов, важно заранее тщательно классифицировать материалы по видам вторичного сырья и организовать их в удобные для приёма формы.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В Тюменском технопарке планируется установка экологических контейнеров, которые обеспечат надлежащий сбор и дальнейшую логистику люминесцентных ламп, гарантируя их безопасное обращение и переработку.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Начнем с анализа упаковки: ""Распаковываем Тюменское"" – первые шаги в аудите.","[0, 1, 0, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,0,0,0,0
Хочешь помочь природе? Присоединяйся к сбору и переработке отходов!,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"На данный момент мы с нашим оператором Лесей Смирновой и активистами Таней Рыбаковой и Еленой Береженцевой провели обзвон и опросили свыше 90 учреждений, которые занимаются переработкой отходов или официально позиционируют себя как таковые.","[1, 0, 1, 0, 0, 0, 0, 0, 0]",1,0,1,0,0,0,0,0,0
"Что можно восстановить, то и будет отремонтировано и возвращено в рабочее состояние.","[0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0,0,0,0,0,0,0,1
Для успешного продвижения этой акции мы нуждаемся в Вашей поддержке!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Оказалось, что переработка сосен для животных — это единственный вариант, который можно рассмотреть.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Предполагается, что прием стекла будет возобновлен в последние дни мая.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В этот день наша акция объединяет сразу несколько полезных инициатив. Мы не только принимаем 8 видов пластиковых отходов и макулатуру, но и организуем сбор металлолома, включая жестяные банки и крышки. Это отличный шанс для всех сдать разнообразные материалы в одном месте и в одно время!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Мы регулярно, примерно раз в три месяца, сдаем металлолом, который включает в себя жестяные банки и крышки.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Начнем с анализа упаковки: ""Распаковываем Тюменское"" – первые шаги в аудите.","[0, 1, 0, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,0,0,0,0
Всё на развес и в собственную упаковку.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"В программе нашего обменного мероприятия:
🍃 Детская зона с увлекательными мастер-классами, где малыши смогут создавать фигурки из домашнего теста и мастерить забавные вещицы из найденных предметов;
🍃 Показательная галерея самодельных игрушек и книжек для вдохновения на творчество;
🍃 Возможность обмениваться игрушками и полезными пособиями, как временно, так и навсегда, для разнообразия и новых открытий;
🍃 Практический урок для родителей о бережном отношении к природе и экологически ответственных методах воспитания.","[0, 0, 0, 0, 1, 1, 1, 1, 0]",0,0,0,0,1,1,1,1,0
"25 ноября, с 11:00 до 12:00, будет организован выездной пункт на улице Малыгина, дом 51.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"ЭкоСтиль — это мой выбор, мой образ жизни.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
ВНИМАНИЕ: Сортируйте материалы согласно приведенным категориям.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В следующем году мы планируем внедрить новую идею: установим партнёрство с лесозаготовителем и начнем перерабатывать хвойные деревья в удобные подстилки для животных. Эти материалы будут доставлены в различные приюты для животных, чтобы обеспечить комфорт и экологичность их содержания.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"В ""пластиковые"" контейнеры для сбора принимаются следующие виды отходов: бутылки из ПЭТ (полиэтилентерефталата), упаковки из ПНД (полиэтилена низкого давления), а также полиэтиленовые сумки и пакеты.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Сбор вторсырья.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Конечно, можно пересмотреть свои привычки в потреблении.","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
31 марта — Пункт приема вторсырья за городом.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Экологические мероприятия по сбору и переработке отходов, которые проводятся в рамках специальных акций, называемых ""Дни экологии"" или ""Экодни"".","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Этот бокс для сбора бумажных отходов в офисе — настоящая находка: он не только практичен, но и способен вместить значительное количество использованных документов и упаковки.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"7 октября, в 19:00, состоится встреча волонтеров из сообщества ""Круговорот"". Встречаемся в уютной кофейне ""Поль Бейкери"" на улице Максима Горького, дом 42а. Хотите присоединиться? Пишите в обсуждении, чтобы отметиться!","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
Следи за актуальными тенденциями и поддерживай порядок в своих предпочтениях!,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Рациональное потребление начинается с разумного обращения с вещами.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"Экомобильный маршрут на 28 июня:
- 9:00-9:15: И.Словцова (район Восточный)
- 9:25-9:40: Школа №92 (Тюменский микрорайон)
- 11:15-11:30: Магазин Здоровье (Мельникайте)
- 11:45-12:05: Пчелка (улица Малыгина)
- 12:55-13:10: Монетка (Заречный)
- 13:25-13:35: Земельный институт (Осипенко, 2)
- 13:45-14:00: Технопарк Тюменского университета
- 14:15-14:25: Остановка у ТВИККУ (Дом обороны)","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В рамках программы запланированы следующие события: мастер-класс от активисток ""Круговорота"", где они поделятся опытом устойчивого воспитания, а также будет представлена экспозиция самодельных игрушек и организована специальная зона для детей.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"С помощью этого сервиса жители могут быстро определить, где в их населённом пункте находятся центры сбора отходов, что способствует более экологичному образу жизни и поддержке переработки.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Как правильно сдать сырье?,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В Тюмени такая возможность предоставляется на выездном пункте, организованном в сотрудничестве с фирмой «Синдикат Полимер».","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
ЭКОМОБИЛЬ 19-го числа апреля!,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Не следует помещать в них следующие материалы: пластик с маркировками 3, 5, 6 и 7, а также неопознанные виды (включая одноразовые тарелки, контейнеры для йогуртов, упаковки для выпечки, подложки для продуктов, пенопластовые элементы, обертки от сладостей, упаковки для макаронных изделий и прочие неперерабатываемые упаковки).","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Проект направлен на активное привлечение широкой аудитории к ежедневному раздельному сбору мусора, используя увлекательные игровые элементы и задания, чтобы повысить уровень перерабатываемых отходов.","[1, 0, 1, 0, 0, 0, 0, 1, 0]",1,0,1,0,0,0,0,1,0
"Если у вас нет необходимости в новой технике и требуется лишь избавиться от старого оборудования, вы можете найти компании, принимающие отработанные устройства, в этом разделе: https://vk.com/topic-63975920_29169421 (раздел ""отработавшая техника"").","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Для стекла и металлолома не предусмотрены специальные контейнеры. Просим складывать упаковки с этими материалами рядом с основными баками, но подальше от зоны движения людей.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
На Михайловском рынке я выбираю корейские салаты и аккуратно перекладываю их в свой контейнер.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"""Цикл жизни"" – это инициатива, где жители обменивают старые бумажные отходы на новые деревья, тем самым поддерживая экологический баланс и способствуя возобновлению природных ресурсов.","[0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,1,0,0,0
"В Салониках горожанам предлагают сдавать пластиковые отходы, чтобы затем переработать их в оригинальные и модные предметы мебели для городских пространств.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"Волонтеры проекта ""Круговорот"" поделятся тонкостями и секретами правильного раздельного сбора мусора.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Запрещено использовать: одноразовые контейнеры, одноразовые столовые принадлежности, тару из-под масла, игрушки, упаковочные материалы вроде пакетов и пленок.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Кристина Шелемеха, лидер инициативной группы ""Круговорот"", а также основательница уникального магазина в Уральском Федеральном Округе, где отсутствует использование упаковочных материалов.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
Мы рады расширить наше партнёрство и приглашаем к сотрудничеству новые мастерские по обслуживанию обуви.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0,0,0,0,0,0,0,1
"Мы накопили значительное количество бумаг, и хотя точный вес пока не определили, это заметно больше, чем остальные материалы, из-за погодных условий, которые мешают доставке приемщику.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Список используемых материалов.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Одновременно направим на переработку металлические отходы, старые тряпки и бумажные изделия.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"Кстати, у компании существует новогодняя традиция: в предпраздничные дни проходит акция под названием #БудьСантой. В рамках этой инициативы можно обменять накопленные баллы с упаковок специальных товаров на различные подарки и призы.","[0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,1,0,0,0
Переход на многоразовые альтернативы может стать решением проблемы.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"Соберите материалы с расчетом, что 50 кг макулатуры эквивалентны одному дереву, которое можно вырастить.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
В зимний период экомобиль собирает отсортированный мусор с установленных контейнеров на стационарных площадках.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Вот полный перечень мест, где можно найти стационарные контейнеры для сбора пластиковых отходов и бумажных материалов. Подробности ищите на этой странице.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Материалы, которые мы принимаем: - пластиковые бутылки и контейнеры из ПЭТ, ПНД и полипропилена, обозначенные как 1, 2 и 5 (подробности о классификации можно узнать на странице: vk.com/album-63975920_216468134); 
- одноразовые стаканы для молочных продуктов, упаковки от соусов и майонеза;
- полиэтиленовая пленка и сумки, которые легко тянутся и не издают шума при растяжении.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Если не удастся достичь согласия, возможно, придется прибегнуть к официальному разрешению спора через суд, где все стороны будут вовлечены в процесс.","[0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,0,1,0,0,0,0,0
"Дорогие друзья, мы с радостью отмечаем, что в нашем городе Тюмени растет число людей, которые поддерживают раздельный сбор отходов! Это важный шаг к более экологичному будущему и заботе о природе. Вместе мы делаем вклад в сохранение планеты.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"С 28 сентября по 28 октября текущего года в Тюмени запланировано проведение экологического мероприятия, направленного на сбор макулатуры в рамках инициативы «Зеленая пятница». В офисах различных компаний будет организована активная работа по переработке бумажных отходов.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Как правильно сдать вторичное сырье?,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В этом видео раскрывается история трёх пластиковых бутылок, которые оказались в центре необычных событий и испытаний.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"Кроме того, вы можете сдать в аренду: балетную пачку, использованную единожды, комплект музыкальных инструментов или коллекцию настольных игр.","[0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,1,0,0
"ЗАВТРА, 4 марта, СДАЕМ ВТОРОЕ РЕШЕНИЕ!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Мы активно занимаемся сбором и утилизацией специфических отходов, таких как батарейки, энергосберегающие лампы, упаковочные материалы и использованные жиры для фритюра, чтобы минимизировать их вред для окружающей среды.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Светлана Вознюк, специалист по экологичному воспитанию в проекте ""Круговорот"", расскажет, почему так важно применять многоразовые предметы, и поделится советами по созданию удобных и безопасных комплектов, избегая проблем с утечками и раздражениями кожи у детей.","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"Список материалов, пригодных для сдачи в контейнеры для пластиковых отходов, обновился.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В среду-четверг мы создадим и отправим запрос, объединив его с вашими подписями. Не медлите, подпишите петицию, чтобы поддержать улучшение обращения с отходами и стать частью позитивных изменений в нашем прекрасном городе!","[0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,0,1,0,0,0,0,0
"Множество замечательных книг, которые ""Экосити"" стремится передать в библиотеки, приюты для детей и пункты обмена литературой, чтобы интеллектуальные сокровища не исчезли бесследно.","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"Ввиду праздничных дней, выезд передвижного пункта приема переносится с 20 на 27 февраля.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
